aggregation_version,experiment,family,phase,source_kind,model,source_model_version,source_analysis_version,protocol,regime,mode,horizon_seconds,nominal_coverage,calibrated,metric,aggregation,n_seeds,seeds,value_median,value_minimum,value_maximum,users,sessions,origins,seed_inferential_test
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,true,mean_interval_width_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,30.344099044799805,28.98046112060547,31.51598358154297,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,true,picp,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.7345931529998779,0.7127830982208252,0.7501305341720581,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,false,absolute_coverage_error,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0150915622711181,0.0079867601394653,0.0796998381614685,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,false,conformal_adjustment_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0,0.0,0.0,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,false,mean_interval_width_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,41.22784805297852,39.56622314453125,43.35966110229492,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,false,picp,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.8849084377288818,0.8203001618385315,0.9079867601394652,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,true,absolute_coverage_error,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.014931583404541,0.0079867601394653,0.0795007586479187,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,true,conformal_adjustment_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0221405029296875,0.0,0.02734375,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,true,mean_interval_width_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,41.27212905883789,39.62091064453125,43.35966110229492,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,true,picp,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.885068416595459,0.8204992413520813,0.9079867601394652,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,zero_history,60,0.5,false,absolute_coverage_error,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.001988410949707,0.0018534660339355,0.0318216681480407,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,zero_history,60,0.5,false,conformal_adjustment_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0,0.0,0.0,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,zero_history,60,0.5,false,mean_interval_width_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,10.075002670288086,9.88888931274414,10.202103614807127,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,zero_history,60,0.5,false,picp,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.4981465339660644,0.4980115890502929,0.5318216681480408,18,234,1523,False
