aggregation_version,seed,experiment,family,phase,regime,horizon_seconds,history_informed_mae_bpm,zero_history_mae_bpm,history_minus_zero_mae_bpm,users,sessions,origins,difference_direction,seed_inferential_test
0.22.0,20260724,unseen_main,,development,unseen_user_test,180,7.420022964477539,7.513736248016357,-0.09371328353881836,105,15026,101184,negative favors history-informed,False
0.22.0,20260724,unseen_main,,development,unseen_user_test,300,8.212199211120605,8.336525917053223,-0.12432670593261719,105,15026,101184,negative favors history-informed,False
0.22.0,20260724,unseen_main,,development,unseen_user_validation,60,6.223449230194092,6.260177612304688,-0.03672838211059659,127,19062,123370,negative favors history-informed,False
0.22.0,20260724,unseen_main,,development,unseen_user_validation,180,7.748815536499023,7.813675880432129,-0.06486034393310547,127,19062,123370,negative favors history-informed,False
0.22.0,20260724,unseen_main,,development,unseen_user_validation,300,8.24624252319336,8.348260879516602,-0.10201835632324219,127,19062,123370,negative favors history-informed,False
0.22.0,20260725,temporal_main,,evaluation,within_user_temporal_test,60,6.057161808013916,6.1056437492370605,-0.04848194122314453,948,16012,104144,negative favors history-informed,False
0.22.0,20260725,temporal_main,,evaluation,within_user_temporal_test,180,7.562630653381348,7.652718544006348,-0.090087890625,948,16012,104144,negative favors history-informed,False
0.22.0,20260725,temporal_main,,evaluation,within_user_temporal_test,300,8.267219543457031,8.378640174865723,-0.1114206314086914,948,16012,104144,negative favors history-informed,False
0.22.0,20260725,unseen_main,,development,unseen_user_test,60,5.849038600921631,5.88263750076294,-0.03359889984130948,105,15026,101184,negative favors history-informed,False
0.22.0,20260725,unseen_main,,development,unseen_user_test,180,7.409515857696533,7.501101493835449,-0.09158563613891602,105,15026,101184,negative favors history-informed,False
0.22.0,20260725,unseen_main,,development,unseen_user_test,300,8.187463760375977,8.306116104125977,-0.11865234375,105,15026,101184,negative favors history-informed,False
0.22.0,20260725,unseen_main,,development,unseen_user_validation,60,6.214304447174072,6.263705253601074,-0.04940080642700195,127,19062,123370,negative favors history-informed,False
0.22.0,20260725,unseen_main,,development,unseen_user_validation,180,7.74838924407959,7.805972576141357,-0.05758333206176758,127,19062,123370,negative favors history-informed,False
0.22.0,20260725,unseen_main,,development,unseen_user_validation,300,8.240198135375977,8.329166412353516,-0.08896827697753906,127,19062,123370,negative favors history-informed,False
0.22.0,20260726,temporal_main,,evaluation,within_user_temporal_test,60,6.003769874572754,6.0444440841674805,-0.04067420959472656,948,16012,104144,negative favors history-informed,False
0.22.0,20260726,temporal_main,,evaluation,within_user_temporal_test,180,7.556800842285156,7.644673347473144,-0.0878725051879874,948,16012,104144,negative favors history-informed,False
0.22.0,20260726,temporal_main,,evaluation,within_user_temporal_test,300,8.244815826416016,8.354557037353516,-0.1097412109375,948,16012,104144,negative favors history-informed,False
0.22.0,20260726,unseen_main,,development,unseen_user_test,60,5.821257591247559,5.865653991699219,-0.044396400451660156,105,15026,101184,negative favors history-informed,False
0.22.0,20260726,unseen_main,,development,unseen_user_test,180,7.407142639160156,7.494663715362549,-0.08752107620239258,105,15026,101184,negative favors history-informed,False
0.22.0,20260726,unseen_main,,development,unseen_user_test,300,8.156834602355957,8.291210174560547,-0.13437557220458984,105,15026,101184,negative favors history-informed,False
0.22.0,20260726,unseen_main,,development,unseen_user_validation,60,6.18658971786499,6.233643054962158,-0.04705333709716797,127,19062,123370,negative favors history-informed,False
0.22.0,20260726,unseen_main,,development,unseen_user_validation,180,7.755743503570557,7.830409049987793,-0.07466554641723633,127,19062,123370,negative favors history-informed,False
0.22.0,20260726,unseen_main,,development,unseen_user_validation,300,8.25429630279541,8.346357345581055,-0.09206104278564453,127,19062,123370,negative favors history-informed,False
