seed,protocol,evaluation,horizon_seconds,contrast,definition,mixed_history_mae_bpm,mixed_zero_mae_bpm,independent_zero_mae_bpm,difference_bpm,negative_favors_left,users,sessions,origins,aggregation,row_index_sha256,user_support_sha256
20260724,unseen_user,frozen_external,60,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,7.426656228443008,7.468456378069247,-0.04180014962623756,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260725,unseen_user,frozen_external,60,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,7.470535533723622,7.461246632600803,0.009288901122818934,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260726,unseen_user,frozen_external,60,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,7.466635005605393,7.448263324045525,0.0183716815598647,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260722,unseen_user,frozen_external,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,10.2058126113789,10.21092310819541,-0.005110496816512976,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260723,unseen_user,frozen_external,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,10.212076868988657,10.249956035496108,-0.03787916650744585,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260724,unseen_user,frozen_external,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,10.197722726356119,10.218396629123657,-0.02067390276753523,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260725,unseen_user,frozen_external,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,10.191957854924848,10.202217509540198,-0.010259654615351943,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260726,unseen_user,frozen_external,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,10.230972618961792,10.225243705808985,0.0057289131527977705,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260722,unseen_user,frozen_external,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,11.213605878707767,11.220984591392295,-0.007378712684521683,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260723,unseen_user,frozen_external,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,11.213930154161869,11.2618075666709,-0.04787741250903507,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260724,unseen_user,frozen_external,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,11.191091371541676,11.226038919092698,-0.03494754755101784,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260725,unseen_user,frozen_external,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,11.186101336190703,11.226375191634782,-0.040273855444077446,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260726,unseen_user,frozen_external,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,11.225538238106227,11.214659190473967,0.01087904763225568,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260722,unseen_user,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,5.8318541837439,5.868225508776028,5.863444059755312,-0.03158987601141089,True,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",7da031568edc8a33a8b3eb0a97236bc8277b9d77c99ef018ff2f8e7642547964,cfabe6704d5297470cdede3c896a4de442b616553555488034cf9ea44148b1fa
20260723,unseen_user,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,5.8573249984086155,5.8980176498574135,5.898516159545884,-0.04119116113726481,True,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",7da031568edc8a33a8b3eb0a97236bc8277b9d77c99ef018ff2f8e7642547964,cfabe6704d5297470cdede3c896a4de442b616553555488034cf9ea44148b1fa
20260724,unseen_user,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,5.866835023302627,5.910071302925875,5.8634929850653155,0.0033420382373101844,True,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",7da031568edc8a33a8b3eb0a97236bc8277b9d77c99ef018ff2f8e7642547964,cfabe6704d5297470cdede3c896a4de442b616553555488034cf9ea44148b1fa
20260725,unseen_user,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,5.849037996291018,5.882637926004923,5.865716769787082,-0.01667877349606213,True,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",7da031568edc8a33a8b3eb0a97236bc8277b9d77c99ef018ff2f8e7642547964,cfabe6704d5297470cdede3c896a4de442b616553555488034cf9ea44148b1fa
20260726,unseen_user,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,5.821257527522328,5.865654201936945,5.878344898985048,-0.05708737146271742,True,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",7da031568edc8a33a8b3eb0a97236bc8277b9d77c99ef018ff2f8e7642547964,cfabe6704d5297470cdede3c896a4de442b616553555488034cf9ea44148b1fa
